浦发银行
民生银行
中国石化
南方航空
中信证券
招商银行
保利地产
中国联通
同方股份
上汽集团
国金证券
北方稀土
信威集团
康美药业
贵州茅台
山东黄金
东方明珠
海通证券
伊利股份
中航动力
东方证券
招商证券
大秦铁路
中国神华
兴业银行
北京银行
中国铁建
东兴证券
国泰君安
农业银行
中国平安
交通银行
新华保险
兴业证券
中国中铁
工商银行
中国太保
中国人寿
中国建筑
华泰证券
中国中车
光大证券
中国交建
光大银行
中国石油
方正证券
中国核电
中国银行
中国重工
中信银行
600000
600016
600028
600029
600030
600036
600048
600050
600100
600104
600109
600111
600485
600518
600519
600547
600637
600837
600887
600893
600958
600999
601006
601088
601166
601169
601186
601198
601211
601288
601318
601328
601336
601377
601390
601398
601601
601628
601668
601688
601766
601788
601800
601818
601857
601901
601985
601988
601989
601998
